NAME,CATEGORY,ADDRESS,DESCRIPTION,IMAGE_URL,LATITUDE,LONGITUDE
California Surf Museum,Landmark ,"312 Pier View Wy, Oceanside, CA 92054","Surf museum chronicles the history of the sport with exhibits of surfboards, famous surfers & more.",https://www.surfertoday.com/images/stories/california-surf-museum.jpg,33.196303,-117.381506
Mission Pacific Beach Resort,Resort,"201 N Myers St, Oceanside, CA 92054",A sophisticated hotel that has returnats and a rooftop bar and pool.,https://missionpacifichotel.com/gallery/,33.194663,-117.382872
The Sea Bird Ocean Resort and Spa,Resort,"101 Mission Ave, Oceanside, CA 92054",A refined hotel that has nice bar and returants that perfect ot enjoy all year around.,https://lh3.googleusercontent.com/gps-cs-s/AHVAwereXn0PMJBAcVLIKa89Frw0ZOmAPViBDyFFScl7lr7-33KuwFzSAsOgoOya7wgirj42BjQi5a3vENU6_Y4RyZ9ohRkcOzdM9VveIFmXOtHAeHxC_DXYga3rODJKzpiXgD55I4a-=s1360-w1360-h1020-rw,33.193773,-117.382577
The Strand,Beach,"The Strand N, Oceanside, CA 92054","Paved sidewalk and one way street along the sand that is well used by crusiers, pedestrians and bike riders alike.",https://scontent-dfw6-1.xx.fbcdn.net/v/t39.30808-6/549827655_122186186048328528_8258849407313812852_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=13d280&_nc_ohc=DzFKqjcMrNIQ7kNvwFCH2h0&_nc_oc=AdnpIOnb9sZnvmg13A0XPATqbJ4C352lhjzuP0C_XJHj9Zvf_Niur-XVsOirVaKYNZY&_nc_zt=23&_nc_ht=scontent-dfw6-1.xx&_nc_gid=0fvOVqMgiiVPDLvxKGoYTg&oh=00_AftbkdJBXKu5cImTMIdZxmBVm45IiqG9CJwfrrdxvmiG7w&oe=69A65872,33.196537,-117.386058
Harbor Beach,Beach,"N Pacific St, Oceanside, CA 92054",This beach is a long strip of sand that encloses the harbor and has amazing waves.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/72/98/74/photo0jpg.jpg?w=1400&h=800&s=1,33.2098,-117.3872
Oceanside Harbor,Landmark ,"N Harbor DrOceanside, CA 92054","The harbor has lots of resturnats, activity rentals and boat slips.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/91/c5/7f/fb-img-1523029615567.jpg?w=1200&h=-1&s=1,33.2103,-117.3946
Sea Lion Island,Landmark ,"N Pacific St, Oceanside, CA 92054",Observation deck ,https://lajollamom.com/wp-content/uploads/w3-webp/uploads/2025/03/oceanside-california-sea-lions.jpg.webp,33.1955,-117.3823
Oceanside Sign,Landmark ,"250 N Pacific St, Oceanside, CA 92054",The Oceanside sign is positioned to welcome incoming boaters to the marina.,https://www.traveloffpath.com/wp-content/uploads/2026/01/Oceanside-sign-at-marina.jpg,33.194403,-117.383191
In-N-Out,Food,"936 N Coast Hwy, Oceanside, CA 92054","Classic burger chain serving customizable burgers, hand-cut fries & shakes.",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqw53H6CCZbpINfsLfA67UwyZyQbWLdh-AnVcOo1if5uKslx9erlKOjPkmKGd450HxgmqHdA68qtGU_SzPnUF4BtTs_fMtSxBKh0rQG_pgh8I_981yBD3dJzo--_lWGw5-0Y_7_=s1360-w1360-h1020-rw,33.203741,-117.383987
Star Theatre,Landmark ,"402 N Coast Hwy, Oceanside, CA 92054",Venerable 1950s-era theater showcasing classic musicals & plays in a nostalgic atmosphere.,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoC8DRYFfhzTnaYMqDm8I4erXMppSe0LIK3XmN0hb-MvsId4dW2PBgWQbcMaD9BebW7oj3P9pMo4gjPeC-I6GVjmYq-AEXR38c6BhoxlvASZP-fsaVQbZAGR0ZR5EwGnK_F4LqNvr5Ajp1x=s1360-w1360-h1020-rw,33.198035,-117.38097
